Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Grönliden;150440;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa 1 dygn, 1 gång/dygn, kl 06;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
2014-02-02 06:00:00;2019-01-09 12:00:00;300.0;64.7301;20.1927
1945-01-01 00:00:00;2014-02-02 05:59:59;300.0;64.7301;20.1927

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
2018-09-17 06:00:01;2018-09-18 06:00:00;2018-09-17;0.3;G
2018-09-18 06:00:01;2018-09-19 06:00:00;2018-09-18;0.3;G
2018-09-19 06:00:01;2018-09-20 06:00:00;2018-09-19;5.0;G
2018-09-20 06:00:01;2018-09-21 06:00:00;2018-09-20;0.4;G
2018-09-21 06:00:01;2018-09-22 06:00:00;2018-09-21;4.6;G
2018-09-22 06:00:01;2018-09-23 06:00:00;2018-09-22;0.0;G
2018-09-23 06:00:01;2018-09-24 06:00:00;2018-09-23;0.0;G
2018-09-24 06:00:01;2018-09-25 06:00:00;2018-09-24;0.0;G
2018-09-25 06:00:01;2018-09-26 06:00:00;2018-09-25;2.7;G
2018-09-26 06:00:01;2018-09-27 06:00:00;2018-09-26;3.8;G
2018-09-27 06:00:01;2018-09-28 06:00:00;2018-09-27;0.0;G
2018-09-28 06:00:01;2018-09-29 06:00:00;2018-09-28;0.0;G
2018-09-29 06:00:01;2018-09-30 06:00:00;2018-09-29;1.0;G
2018-09-30 06:00:01;2018-10-01 06:00:00;2018-09-30;0.0;G
2018-10-01 06:00:01;2018-10-02 06:00:00;2018-10-01;0.0;G
2018-10-02 06:00:01;2018-10-03 06:00:00;2018-10-02;0.8;G
2018-10-03 06:00:01;2018-10-04 06:00:00;2018-10-03;1.8;G
2018-10-04 06:00:01;2018-10-05 06:00:00;2018-10-04;6.4;G
2018-10-05 06:00:01;2018-10-06 06:00:00;2018-10-05;0.0;G
2018-10-06 06:00:01;2018-10-07 06:00:00;2018-10-06;0.0;G
2018-10-07 06:00:01;2018-10-08 06:00:00;2018-10-07;0.0;G
